fsq_id,name,category,location_city,location_lng,location_contextLine,location_state,location_country,location_cc,location_isFuzzed,location_lat,uid,gender,location_stats_checkinsCount,location_stats_usersCount,location_stats_tipCount,checkin_time,fsq_url,tweet_url,user_screenname,location_neighborhood,location_postalCode,location_address,location_crossStreet
598adf3c123a19503b0c0ea2,風の琴音's House,"[{'id': '4bf58dd8d48988d103941735', 'name': 'Home (private)', 'primary': True}]",安城市,137.05343652927368,日本安城市,愛知県,日本,JP,True,34.945792208421,uid_182537302,female,2559,2,0,2019-06-19 17:56:52,https://www.swarmapp.com/c/bw28I2tQqGf,https://t.co/dLNz3tx2kq,6cdf149de00f87aa,,,,
4b5c05e8f964a520842129e3,Tokyo Kinema Club,"[{'id': '4bf58dd8d48988d171941735', 'name': 'Event Space', 'primary': True}]",東京,139.7802207986956,日本東京,東京都,日本,JP,,35.72077572956646,uid_398208660,male,24996,10177,10,2019-07-28 11:36:38,https://www.swarmapp.com/c/bdo1eOqq3T1,https://t.co/lt9oipk2wV,bbe6190f8797f5f2,上野,110-0003,根岸1-1-14,
4b7f93edf964a520253530e3,Tokyu / Minatomirai Line Yokohama Station (TY21/MM01),"[{'id': '4bf58dd8d48988d129951735', 'name': 'Rail Station', 'primary': True}]",横浜市,139.62269919645598,日本横浜市,神奈川県,日本,JP,,35.466683296827654,uid_547078107,male,153946,23260,40,2019-09-14 17:20:00,https://www.swarmapp.com/c/eyc8aGeLY6U,https://t.co/Zf1GPwUIQC,11d29a79a8e08a17,,220-0005,西区南幸1-1-1,
5a112fb4b1ec131ad2e92b9e,FamilyMart,"[{'id': '4d954b0ea243a5684a65b473', 'name': 'Convenience Store', 'primary': True}]",宇都宮市,139.93613285117658,日本宇都宮市,栃木県,日本,JP,,36.63057384757975,uid_152480394,male,118,49,0,2022-08-04 17:54:16,https://www.swarmapp.com/c/3ZhdHr2rxEd,https://t.co/rhQKltP5Pc,7bdc02070d379319,,329-1102,白沢町1810-34,
4fa3574a121df8dabaf60d8b,JR Akihabara Station,"[{'id': '4bf58dd8d48988d129951735', 'name': 'Rail Station', 'primary': True}]",東京,139.773275,日本東京,東京都,日本,JP,,35.698545,uid_578819460,none,398620,59673,23,2020-12-20 23:57:14,https://www.swarmapp.com/c/2gLrXXjk1Wp,https://t.co/5B0xVlg9qU,ab1f40330568450a,秋葉原,101-0021,外神田1-17-6,
4d1d8ebb5c4ca1cd1f6e883d,くつろぎ宿  千代滝,"[{'id': '4bf58dd8d48988d1fa931735', 'name': 'Hotel', 'primary': True}]",会津若松市,139.962453341019,日本会津若松市,福島県,日本,JP,,37.479436495431266,uid_144831469,female,586,473,3,2022-01-09 08:49:43,https://www.swarmapp.com/c/1FcbZYuUgxo,https://t.co/96flST5v4p,4d177e6059e6c4e3,,965-0814,東山町湯本寺屋敷43,
5601606c498e4df93f49a0ff,apollostation セルフ針インタートラックステーションSS,"[{'id': '4bf58dd8d48988d113951735', 'name': 'Fuel Station', 'primary': True}]",奈良市,135.962051,日本奈良市,奈良県,日本,JP,,34.609008,uid_451758526,male,4472,1534,3,2021-10-20 01:28:21,https://www.swarmapp.com/c/bvksaidn4Up,https://t.co/U0ZrFcnMFB,8707f641f3425ade,,632-0251,針町481-1,
4b792c8bf964a520d1ed2ee3,Izumoshi Station,"[{'id': '4bf58dd8d48988d129951735', 'name': 'Rail Station', 'primary': True}]",出雲市,132.75671,日本出雲市,島根県,日本,JP,,35.360752,uid_954713,male,22798,10904,21,2020-01-01 17:55:35,https://www.swarmapp.com/c/jLbz2UFvZqN,https://t.co/mja7POU0PT,d5e893a5217b7a78,,693-0007,駅北町11,
53eb0b5811d24262a24f80f2,Moroyama,"[{'id': '530e33ccbcbc57f1066bbff3', 'name': 'Town', 'primary': True}]",毛呂山町,139.31884163950863,日本毛呂山町,埼玉県,日本,JP,,35.93684490241614,uid_9561277,male,5675,397,3,2019-07-29 21:32:43,https://www.swarmapp.com/c/9703ZTxTH5Z,https://t.co/IxyT6Ialj1,489d04915c936c45,,,,
4b948d52f964a520367d34e3,道の駅 美山ふれあい広場,"[{'id': '4d954b16a243a5684b65b473', 'name': 'Rest Area', 'primary': True}]",南丹市,135.5879058595047,日本南丹市,京都府,日本,JP,,35.27682770164612,uid_562738669,male,34170,6170,15,2020-06-28 12:04:57,https://www.swarmapp.com/c/im3c96JCiSL,https://t.co/bZZA4bh4N6,8c6d35c96b72fd28,,601-0722,美山町安掛下23,国道162号
